frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,0
60,,,,,,,0
60,,,,,,1.270085607,0
60,,,,,,0.735306095,0
60,,,,,,1.004348991,0
54,45436,80,6,0,64024,4.70353215,0
60,80,45436,6,0,64240,0.001268495,0
54,45436,80,6,0,64024,10.239180479,0
60,80,45436,6,0,64240,0.000433418,0
90,,,17,,,3.607480528,0
90,,,17,,,0.0167327,0
93,54026,443,6,39,65535,1.052985136,0
60,443,54026,6,0,64240,0.000964852,0
93,443,54026,6,39,64240,0.011195433,0
54,54026,443,6,0,65535,0.000114494,0
54,45436,80,6,0,64024,5.549666461,0
60,80,45436,6,0,64240,0.001224916,0
93,46438,443,6,39,65535,1.451832006,0
60,443,46438,6,0,64240,0.001116389,0
93,443,46438,6,39,64240,0.034078067,0
54,46438,443,6,0,65535,0.000170628,0
100,54028,443,6,46,65535,3.321237594,0
100,49176,443,6,46,65535,0.000657888,0
93,49910,443,6,39,65535,0.00041634,0
60,443,54028,6,0,64240,0.000261836,0
60,443,49176,6,0,64240,0.000437462,0
60,443,49910,6,0,64240,0.000001039,0
93,443,49910,6,39,64240,0.016628799,0
100,443,54028,6,46,64240,0.000001214,0
100,443,49176,6,46,64240,0.012940846,0
54,54028,443,6,0,65535,0.027153041,0
54,49910,443,6,0,65535,0.000661311,0
54,49176,443,6,0,65535,0.015323784,0
93,35438,443,6,39,65535,0.984374458,0
93,49546,443,6,39,65535,0.00061,0
60,443,35438,6,0,64240,0.000303436,0
60,443,49546,6,0,64240,0.000439551,0
93,443,35438,6,39,64240,0.013537585,0
54,35438,443,6,0,65535,0.000163999,0
93,443,49546,6,39,64240,0.003485602,0
54,49546,443,6,0,65535,0.000169344,0
93,53372,443,6,39,65535,2.985677427,0
60,443,53372,6,0,64240,0.001158285,0
93,443,53372,6,39,64240,0.028619985,0
54,53372,443,6,0,65535,0.041353998,0
54,45436,80,6,0,64024,1.296054811,0
60,80,45436,6,0,64240,0.000919869,0
82,46446,443,6,28,62998,2.931795264,0
60,443,46446,6,0,64240,0.001461227,0
78,443,46446,6,24,64240,0.256098768,0
78,46446,443,6,24,62973,0.000826493,0
54,46446,443,6,0,62973,0.000511405,0
60,443,46446,6,0,64240,0.000485793,0
60,443,46446,6,0,64239,0.000308497,0
93,46438,443,6,39,65535,0.018076017,0
60,443,46438,6,0,64240,0.001301089,0
93,35438,443,6,39,65535,0.002399421,0
60,443,35438,6,0,64240,0.001458147,0
93,54026,443,6,39,65535,0.001704115,0
60,443,54026,6,0,64240,0.001350171,0
100,54028,443,6,46,65535,0.001095779,0
60,443,54028,6,0,64240,0.000997493,0
93,49546,443,6,39,65535,0.002872445,0
60,443,49546,6,0,64240,0.001735374,0
93,53372,443,6,39,65535,0.000863651,0
60,443,53372,6,0,64240,0.001662486,0
100,49176,443,6,46,65535,0.000599468,0
60,443,49176,6,0,64240,0.001809058,0
93,49910,443,6,39,65535,0.000549859,0
60,443,49910,6,0,64240,0.00125569,0
54,45436,80,6,0,64024,0.000501,0
78,53372,443,6,24,65535,0.000827716,0
60,80,45436,6,0,64239,0.000938222,0
60,443,53372,6,0,64240,0.000001263,0
54,53372,443,6,0,65535,0.00040035,0
60,443,53372,6,0,64239,0.001691394,0
78,49910,443,6,24,65535,0.00214343,0
54,49910,443,6,0,65535,0.000516603,0
60,443,49910,6,0,64240,0.000637282,0
60,443,49910,6,0,64239,0.000474713,0
78,49546,443,6,24,65535,0.001042988,0
54,49546,443,6,0,65535,0.000494991,0
60,443,49546,6,0,64240,0.001149567,0
60,443,49546,6,0,64239,0.000001286,0
78,46438,443,6,24,65535,0.001545609,0
54,46438,443,6,0,65535,0.000553335,0
60,443,46438,6,0,64240,0.000627487,0
60,443,46438,6,0,64239,0.000329822,0
78,443,53372,6,24,64239,0.000293724,0
54,53372,443,6,0,0,0.000057394,0
78,35438,443,6,24,65535,0.000790479,0
60,443,35438,6,0,64240,0.000570923,0
54,35438,443,6,0,65535,0.000241619,0
60,443,35438,6,0,64239,0.000379185,0
85,54028,443,6,31,65535,0.000988489,0
60,443,54028,6,0,64240,0.000797295,0
54,54028,443,6,0,65535,0.000181857,0
60,443,54028,6,0,64239,0.001447785,0
60,443,49910,6,0,64239,0.000000935,0
54,49910,443,6,0,14764,0.000279264,0
78,54026,443,6,24,65535,0.000626545,0
54,54026,443,6,0,65535,0.000449691,0
60,443,54026,6,0,64240,0.000459039,0
60,443,54026,6,0,64239,0.000001202,0
85,49176,443,6,31,65535,0.001223416,0
60,443,49176,6,0,64240,0.000563438,0
54,49176,443,6,0,65535,0.000138083,0
60,443,49176,6,0,64239,0.000450143,0
60,443,49546,6,0,64239,0.001827052,0
54,49546,443,6,0,8924,0.000086023,0
60,443,35438,6,0,64239,0.00377928,0
54,35438,443,6,0,25376,0.000083614,0
60,80,45436,6,0,64239,0.001430535,0
78,443,54026,6,24,64239,0.000001171,0
85,443,54028,6,31,64239,0.000000211,0
60,443,54028,6,0,64239,0.000000118,0
54,45436,80,6,0,64024,0.000077922,0
54,54026,443,6,0,0,0.000166671,0
54,54028,443,6,0,0,0.000133694,0
54,54028,443,6,0,0,0.000766398,0
60,443,46438,6,0,64239,0.016979161,0
54,46438,443,6,0,7464,0.000074288,0
60,443,49176,6,0,64239,0.006558547,0
54,49176,443,6,0,7464,0.000079704,0
